# Run_start	"20/06/2025 12:01:30.9081"
# Run_start_s	3833258490.9081
# Trigger_level	2.500
# NI9205_Pre-Trig	200
# NI9205 _Post-Trig	300
# SM300_Frequency	140000
# SM300_Level	-10.000
# SM300_Pulse_every	NaN
# SM300_Pulse_ON_time	NaN
# T1	18.1
# T2	1413.1
# T3	18.0
# T4	18.1
# NI9201_ech_by_s	1000.000
# NI9775_ech_by_s	1000.000
# NI9205_ech_by_s	1000.000
# NI9775_Pre-Trig	200
# NI9775_Post-Trig	300
# NI9201_Pre-Trig	200
# NI9201_Post-Trig	300
# TTi	NaN
# Keithley	NaN
# Spellman	0.000
# E1_att	-75.60000
# E1_a	10.34156
# E1_b	-51.31475
# E2_att	-77.20000
# E2_a	10.30257
# E2_b	-50.82615
# E3_att	-76.80000
# E3_a	10.36694
# E3_b	-51.22425
# E4_att	-75.90000
# E4_a	10.33638
# E4_b	-51.09452
# E5_att	-76.40000
# E5_a	10.34682
# E5_b	-50.96270
# E6_att	-77.50000
# E6_a	10.36249
# E6_b	-51.07622
# E7_att	-74.40000
# E7_a	10.39803
# E7_b	-51.24630
# E8_att	NaN
# E8_a	NaN
# E8_b	NaN
# E9_att	NaN
# E9_a	NaN
# E9_b	NaN
# NI9205_MP1l_a	1210.00000
# NI9205_MP2l_a	1210.00000
# NI9205_MP3l_a	1210.00000
# NI9205_MP4l_a	1210.00000
# NI9205_MP5l_a	1210.00000
# NI9205_MP6l_a	1220.00000
# NI9205_MP7l_a	1050.00000
# NI9205_MP8l_a	1050.00000
# NI9205_MP9l_a	500.00000
# NI9201_MP1m_a	1.00000
# NI9201_MP2m_a	1.00000
# NI9201_MP3m_a	1.00000
# NI9201_MP4m_a	1.00000
# NI9201_MP5m_a	1.00000
# NI9201_MP6m_a	1.00000
# NI9775_MP1r_a	1.00000
# NI9775_MP2r_a	1.00000

Index	NI9205_E2	NI9205_E3	NI9205_E4	NI9205_E5	NI9205_E6	NI9205_E7	NI9205_MP1l	NI9205_MP2l	NI9205_MP3l	NI9205_MP4l	NI9205_MP5l	NI9205_MP6l	NI9205_MP7l	NI9205_Power1	NI9205_Power2	NI9205_Allure1	NI9205_Sync	NI9205_Arc1	NI9205_Arc2	NI9205_Penning1	NI9205_Penning2	NI9205_bayard-alpert	NI9205_MP8l	NI9201_Sync	NI9201_MP3m	NI9775_Sync
53	4.065529E-2	2.227264E-2	2.522700E-2	3.113570E-2	2.227264E-2	2.194438E-2	5.859566E-3	5.531304E-3	4.874781E-3	6.516089E-3	4.874781E-3	5.203043E-3	4.874781E-3	6.073816E-4	2.791201E-4	2.207185E+0	-4.653817E+0	1.592166E-3	1.002690E+1	8.037217E+0	7.167294E+0	5.225433E-1	4.546520E-3	-4.648574E+0	-8.236893E-3	-4.656746E+0
54	4.065529E-2	2.292916E-2	2.555526E-2	3.146396E-2	2.260090E-2	2.161612E-2	6.516089E-3	5.203043E-3	5.531304E-3	6.187827E-3	4.546520E-3	4.874781E-3	5.859566E-3	-4.914139E-5	2.791201E-4	2.197337E+0	-4.654801E+0	1.592166E-3	1.002362E+1	8.045752E+0	7.170249E+0	5.222151E-1	4.546520E-3	-4.658864E+0	-3.091633E-3	-4.653974E+0
55	4.131181E-2	2.325743E-2	2.621178E-2	3.146396E-2	2.325743E-2	2.194438E-2	5.531304E-3	5.531304E-3	5.531304E-3	6.844350E-3	4.874781E-3	4.874781E-3	5.531304E-3	-1.362187E-3	-3.774029E-4	2.195696E+0	-4.656771E+0	1.263905E-3	1.002953E+1	8.079564E+0	7.205046E+0	5.222151E-1	5.203043E-3	-4.658864E+0	-8.236893E-3	-4.662289E+0
56	4.164007E-2	2.358569E-2	2.654004E-2	3.212049E-2	2.325743E-2	2.260090E-2	7.500873E-3	5.859566E-3	5.203043E-3	6.187827E-3	5.531304E-3	5.859566E-3	5.531304E-3	-3.774029E-4	-1.033926E-3	2.212438E+0	-4.657756E+0	2.905212E-3	1.002690E+1	8.076281E+0	7.197167E+0	5.228716E-1	4.218258E-3	-4.658864E+0	-8.236893E-3	-4.659517E+0
57	4.098355E-2	2.391395E-2	2.654004E-2	3.179223E-2	2.424221E-2	2.325743E-2	6.516089E-3	5.531304E-3	5.531304E-3	7.500873E-3	5.531304E-3	5.531304E-3	6.516089E-3	-1.033926E-3	-1.033926E-3	2.203574E+0	-4.659397E+0	2.248689E-3	1.002493E+1	8.087114E+0	7.210298E+0	5.222151E-1	5.203043E-3	-4.664009E+0	-3.091633E-3	-4.656746E+0
58	4.196833E-2	2.424221E-2	2.654004E-2	3.244875E-2	2.391395E-2	2.260090E-2	6.844350E-3	4.874781E-3	4.546520E-3	5.531304E-3	4.218258E-3	4.218258E-3	6.187827E-3	-1.690449E-3	-2.018710E-3	2.201933E+0	-4.661038E+0	6.073816E-4	1.002756E+1	8.093352E+0	7.215550E+0	5.222151E-1	4.874781E-3	-4.674298E+0	-3.091633E-3	-4.658131E+0
59	4.098355E-2	2.358569E-2	2.588352E-2	3.212049E-2	2.292916E-2	2.194438E-2	4.874781E-3	4.218258E-3	3.561735E-3	5.203043E-3	4.546520E-3	3.889997E-3	4.874781E-3	-1.690449E-3	-2.346972E-3	2.202261E+0	-4.661367E+0	4.218258E-3	1.002460E+1	8.114033E+0	7.243125E+0	5.225433E-1	5.859566E-3	-4.664009E+0	-8.236893E-3	-4.670604E+0
60	4.360964E-2	2.522700E-2	2.818135E-2	3.409006E-2	2.555526E-2	2.424221E-2	6.844350E-3	6.516089E-3	6.187827E-3	8.157396E-3	4.874781E-3	5.531304E-3	7.829135E-3	-3.331757E-3	-3.331757E-3	2.215720E+0	-4.668260E+0	-1.362187E-3	1.003018E+1	8.146532E+0	7.272341E+0	5.218868E-1	5.859566E-3	-4.669154E+0	-8.236893E-3	-4.667832E+0
61	4.328138E-2	2.555526E-2	2.785309E-2	3.409006E-2	2.489873E-2	2.457047E-2	7.172612E-3	7.172612E-3	6.516089E-3	8.485658E-3	4.874781E-3	5.531304E-3	8.157396E-3	-3.003495E-3	-2.675233E-3	2.202590E+0	-4.668260E+0	-4.973064E-3	1.002986E+1	8.136027E+0	7.258882E+0	5.218868E-1	6.516089E-3	-4.679443E+0	-8.236893E-3	-4.663675E+0
62	4.360964E-2	2.588352E-2	2.818135E-2	3.376179E-2	2.555526E-2	2.391395E-2	7.500873E-3	6.844350E-3	6.844350E-3	8.485658E-3	4.218258E-3	4.874781E-3	7.829135E-3	-3.331757E-3	-3.331757E-3	2.197337E+0	-4.670230E+0	-3.003495E-3	1.003051E+1	8.147845E+0	7.265776E+0	5.218868E-1	6.516089E-3	-4.674298E+0	-3.091633E-3	-4.667832E+0
63	4.262486E-2	2.457047E-2	2.752483E-2	3.343353E-2	2.489873E-2	2.358569E-2	7.172612E-3	7.172612E-3	6.187827E-3	8.485658E-3	4.874781E-3	4.874781E-3	6.516089E-3	-2.346972E-3	-2.018710E-3	2.204888E+0	-4.665306E+0	-3.660018E-3	1.002887E+1	8.084488E+0	7.211939E+0	5.222151E-1	5.859566E-3	-4.674298E+0	2.053627E-3	-4.666447E+0
64	4.229659E-2	2.424221E-2	2.719656E-2	3.310527E-2	2.424221E-2	2.292916E-2	7.172612E-3	6.844350E-3	6.187827E-3	7.500873E-3	4.874781E-3	4.874781E-3	6.516089E-3	-2.018710E-3	-2.018710E-3	2.202918E+0	-4.662680E+0	-2.346972E-3	1.002690E+1	8.081534E+0	7.207343E+0	5.222151E-1	5.531304E-3	-4.669154E+0	-3.091633E-3	-4.662289E+0
65	4.229659E-2	2.424221E-2	2.686830E-2	3.244875E-2	2.391395E-2	2.325743E-2	7.172612E-3	6.187827E-3	5.859566E-3	7.172612E-3	5.203043E-3	5.859566E-3	6.516089E-3	-1.362187E-3	-1.362187E-3	2.210796E+0	-4.661038E+0	-3.003495E-3	1.002690E+1	8.044439E+0	7.166309E+0	5.225433E-1	5.531304E-3	-4.664009E+0	-8.236893E-3	-4.659517E+0
66	4.131181E-2	2.391395E-2	2.654004E-2	3.277701E-2	2.391395E-2	2.325743E-2	5.203043E-3	4.874781E-3	5.203043E-3	6.844350E-3	5.203043E-3	5.531304E-3	5.859566E-3	-1.362187E-3	-1.033926E-3	2.207185E+0	-4.660382E+0	-5.301326E-3	1.002723E+1	8.049691E+0	7.175501E+0	5.225433E-1	4.874781E-3	-4.664009E+0	-3.091633E-3	-4.656746E+0
67	4.164007E-2	2.424221E-2	2.654004E-2	3.212049E-2	2.358569E-2	2.292916E-2	6.187827E-3	5.203043E-3	5.203043E-3	6.844350E-3	5.531304E-3	5.203043E-3	6.516089E-3	-7.056644E-4	-7.056644E-4	2.206857E+0	-4.658412E+0	-3.988280E-3	1.003018E+1	8.038202E+0	7.165325E+0	5.222151E-1	4.546520E-3	-4.658864E+0	-3.091633E-3	-4.659517E+0
68	4.098355E-2	2.325743E-2	2.654004E-2	3.212049E-2	2.391395E-2	2.260090E-2	4.874781E-3	5.531304E-3	5.531304E-3	7.500873E-3	6.516089E-3	6.844350E-3	7.172612E-3	-4.914139E-5	2.791201E-4	2.204231E+0	-4.656114E+0	-2.675233E-3	1.003412E+1	8.029338E+0	7.155477E+0	5.228716E-1	4.546520E-3	-4.669154E+0	-3.091633E-3	-4.663675E+0
69	4.229659E-2	2.424221E-2	2.621178E-2	3.277701E-2	2.391395E-2	2.227264E-2	7.172612E-3	6.844350E-3	6.516089E-3	7.829135E-3	6.187827E-3	6.187827E-3	8.157396E-3	-4.914139E-5	6.073816E-4	2.204559E+0	-4.657099E+0	-6.942633E-3	1.003084E+1	8.009642E+0	7.130200E+0	5.225433E-1	4.546520E-3	-4.664009E+0	-3.091633E-3	-4.653974E+0
70	4.032703E-2	2.260090E-2	2.522700E-2	3.113570E-2	2.260090E-2	2.095960E-2	4.218258E-3	3.561735E-3	3.889997E-3	5.531304E-3	5.203043E-3	4.874781E-3	4.546520E-3	1.263905E-3	1.920428E-3	2.202918E+0	-4.648893E+0	-1.033926E-3	1.002428E+1	7.978784E+0	7.103610E+0	5.228716E-1	3.561735E-3	-4.658864E+0	-3.091633E-3	-4.648430E+0
71	4.032703E-2	2.227264E-2	2.489873E-2	3.113570E-2	2.194438E-2	2.063133E-2	5.531304E-3	4.218258E-3	4.218258E-3	5.859566E-3	4.874781E-3	4.546520E-3	4.546520E-3	1.263905E-3	1.920428E-3	2.192742E+0	-4.650206E+0	3.889997E-3	1.002625E+1	7.990602E+0	7.113458E+0	5.228716E-1	3.561735E-3	-4.648574E+0	2.053627E-3	-4.652588E+0
72	3.999876E-2	2.194438E-2	2.489873E-2	3.047918E-2	2.194438E-2	2.063133E-2	5.859566E-3	5.203043E-3	4.874781E-3	6.844350E-3	5.859566E-3	5.203043E-3	4.874781E-3	1.920428E-3	1.920428E-3	2.201605E+0	-4.647580E+0	2.248689E-3	1.002690E+1	7.980754E+0	7.103938E+0	5.225433E-1	3.233474E-3	-4.653719E+0	-3.091633E-3	-4.648430E+0
73	4.032703E-2	2.227264E-2	2.489873E-2	3.146396E-2	2.292916E-2	2.161612E-2	5.531304E-3	5.203043E-3	5.203043E-3	6.187827E-3	5.859566E-3	5.531304E-3	4.874781E-3	-3.774029E-4	-4.914139E-5	2.205544E+0	-4.653817E+0	1.920428E-3	1.003347E+1	8.039186E+0	7.166309E+0	5.228716E-1	4.218258E-3	-4.653719E+0	-3.091633E-3	-4.653974E+0
74	4.032703E-2	2.292916E-2	2.555526E-2	3.179223E-2	2.292916E-2	2.194438E-2	5.859566E-3	4.874781E-3	4.874781E-3	6.516089E-3	5.531304E-3	5.859566E-3	5.531304E-3	-3.774029E-4	-4.914139E-5	2.204888E+0	-4.654801E+0	6.073816E-4	1.002821E+1	8.046080E+0	7.172547E+0	5.225433E-1	4.218258E-3	-4.658864E+0	-3.091633E-3	-4.656746E+0
75	4.098355E-2	2.325743E-2	2.588352E-2	3.179223E-2	2.325743E-2	2.194438E-2	5.531304E-3	4.874781E-3	4.546520E-3	6.187827E-3	5.203043E-3	5.203043E-3	5.531304E-3	-3.774029E-4	-3.774029E-4	2.210796E+0	-4.656114E+0	1.263905E-3	1.002821E+1	8.073655E+0	7.202091E+0	5.228716E-1	4.546520E-3	-4.664009E+0	-3.091633E-3	-4.662289E+0
76	4.131181E-2	2.358569E-2	2.621178E-2	3.179223E-2	2.325743E-2	2.227264E-2	7.172612E-3	6.844350E-3	5.531304E-3	6.516089E-3	5.531304E-3	6.187827E-3	5.531304E-3	-3.774029E-4	-3.774029E-4	2.202261E+0	-4.658084E+0	2.905212E-3	1.002789E+1	8.077266E+0	7.196510E+0	5.218868E-1	4.874781E-3	-4.658864E+0	-8.236893E-3	-4.659517E+0
77	4.131181E-2	2.391395E-2	2.686830E-2	3.244875E-2	2.391395E-2	2.260090E-2	5.531304E-3	5.531304E-3	5.859566E-3	6.844350E-3	4.874781E-3	4.874781E-3	7.500873E-3	-1.362187E-3	-1.690449E-3	2.208827E+0	-4.660382E+0	1.920428E-3	1.003347E+1	8.085473E+0	7.209313E+0	5.222151E-1	5.203043E-3	-4.664009E+0	-3.091633E-3	-4.658131E+0
78	4.229659E-2	2.457047E-2	2.654004E-2	3.277701E-2	2.358569E-2	2.292916E-2	6.516089E-3	4.874781E-3	4.874781E-3	5.859566E-3	4.218258E-3	3.233474E-3	6.187827E-3	-2.018710E-3	-2.346972E-3	2.205872E+0	-4.662351E+0	9.356431E-4	1.003347E+1	8.097291E+0	7.220146E+0	5.218868E-1	4.874781E-3	-4.669154E+0	-3.091633E-3	-4.655360E+0
79	4.164007E-2	2.325743E-2	2.588352E-2	3.244875E-2	2.325743E-2	2.260090E-2	4.874781E-3	3.561735E-3	3.561735E-3	4.874781E-3	3.889997E-3	3.561735E-3	5.859566E-3	-1.690449E-3	-1.690449E-3	2.207185E+0	-4.660710E+0	4.218258E-3	1.002690E+1	8.112391E+0	7.240171E+0	5.222151E-1	5.859566E-3	-4.664009E+0	-3.091633E-3	-4.669218E+0
80	4.328138E-2	2.522700E-2	2.818135E-2	3.409006E-2	2.489873E-2	2.424221E-2	8.157396E-3	7.500873E-3	7.172612E-3	8.485658E-3	4.874781E-3	4.874781E-3	8.157396E-3	-3.660018E-3	-3.331757E-3	2.207514E+0	-4.669573E+0	-2.018710E-3	1.003051E+1	8.143249E+0	7.271028E+0	5.218868E-1	6.187827E-3	-4.674298E+0	-3.091633E-3	-4.667832E+0
81	4.295312E-2	2.522700E-2	2.785309E-2	3.376179E-2	2.522700E-2	2.424221E-2	8.157396E-3	7.500873E-3	7.172612E-3	8.813919E-3	4.874781E-3	5.531304E-3	8.157396E-3	-3.003495E-3	-3.331757E-3	2.206857E+0	-4.667604E+0	-4.973064E-3	1.003051E+1	8.132744E+0	7.259867E+0	5.222151E-1	6.187827E-3	-4.679443E+0	-3.091633E-3	-4.669218E+0
82	4.295312E-2	2.555526E-2	2.785309E-2	3.376179E-2	2.588352E-2	2.424221E-2	7.172612E-3	6.516089E-3	6.516089E-3	8.157396E-3	5.203043E-3	5.531304E-3	7.500873E-3	-3.660018E-3	-3.331757E-3	2.205872E+0	-4.668917E+0	-2.675233E-3	1.002756E+1	8.138653E+0	7.264791E+0	5.218868E-1	6.516089E-3	-4.679443E+0	-8.236893E-3	-4.669218E+0
83	4.262486E-2	2.457047E-2	2.785309E-2	3.376179E-2	2.457047E-2	2.391395E-2	7.172612E-3	6.844350E-3	6.844350E-3	8.157396E-3	5.531304E-3	5.531304E-3	7.172612E-3	-2.346972E-3	-2.018710E-3	2.206857E+0	-4.664649E+0	-3.660018E-3	1.003150E+1	8.085473E+0	7.210954E+0	5.222151E-1	5.859566E-3	-4.679443E+0	-8.236893E-3	-4.665061E+0
84	4.229659E-2	2.457047E-2	2.719656E-2	3.310527E-2	2.489873E-2	2.325743E-2	6.516089E-3	6.187827E-3	5.859566E-3	7.172612E-3	5.859566E-3	5.203043E-3	6.516089E-3	-1.690449E-3	-2.018710E-3	2.208498E+0	-4.663008E+0	-3.003495E-3	1.002920E+1	8.077594E+0	7.204389E+0	5.222151E-1	5.203043E-3	-4.669154E+0	-8.236893E-3	-4.662289E+0
85	4.229659E-2	2.424221E-2	2.686830E-2	3.310527E-2	2.457047E-2	2.358569E-2	6.516089E-3	5.531304E-3	6.187827E-3	7.500873E-3	5.531304E-3	5.859566E-3	6.844350E-3	-7.056644E-4	-7.056644E-4	2.213422E+0	-4.660382E+0	-3.331757E-3	1.002789E+1	8.043126E+0	7.166966E+0	5.228716E-1	5.531304E-3	-4.664009E+0	-3.091633E-3	-4.656746E+0
86	4.196833E-2	2.424221E-2	2.719656E-2	3.244875E-2	2.391395E-2	2.292916E-2	4.874781E-3	4.218258E-3	4.874781E-3	6.844350E-3	3.889997E-3	5.203043E-3	6.187827E-3	-1.690449E-3	-1.033926E-3	2.197337E+0	-4.659397E+0	-4.644803E-3	1.002953E+1	8.046737E+0	7.170577E+0	5.222151E-1	4.874781E-3	-4.664009E+0	-8.236893E-3	-4.660903E+0
87	4.131181E-2	2.325743E-2	2.654004E-2	3.244875E-2	2.325743E-2	2.260090E-2	5.531304E-3	5.203043E-3	5.531304E-3	6.844350E-3	5.531304E-3	4.874781E-3	6.844350E-3	-7.056644E-4	-1.033926E-3	2.204231E+0	-4.658412E+0	-4.316541E-3	1.003018E+1	8.036560E+0	7.163355E+0	5.228716E-1	4.546520E-3	-4.664009E+0	-3.091633E-3	-4.656746E+0
88	4.098355E-2	2.325743E-2	2.621178E-2	3.212049E-2	2.391395E-2	2.260090E-2	4.546520E-3	4.546520E-3	5.203043E-3	7.500873E-3	5.531304E-3	6.516089E-3	6.844350E-3	2.791201E-4	2.791201E-4	2.212766E+0	-4.655458E+0	-2.346972E-3	1.003445E+1	8.027369E+0	7.155148E+0	5.225433E-1	4.546520E-3	-4.658864E+0	-8.236893E-3	-4.665061E+0
89	4.196833E-2	2.457047E-2	2.654004E-2	3.244875E-2	2.358569E-2	2.292916E-2	7.829135E-3	7.500873E-3	7.172612E-3	8.813919E-3	6.187827E-3	6.844350E-3	7.500873E-3	-3.774029E-4	-4.914139E-5	2.203246E+0	-4.657099E+0	-6.614372E-3	1.002657E+1	8.012596E+0	7.133482E+0	5.225433E-1	3.889997E-3	-4.664009E+0	-8.236893E-3	-4.647045E+0
90	4.032703E-2	2.194438E-2	2.522700E-2	3.047918E-2	2.227264E-2	2.128786E-2	5.531304E-3	4.546520E-3	4.218258E-3	5.859566E-3	4.874781E-3	4.874781E-3	4.874781E-3	1.263905E-3	1.920428E-3	2.208827E+0	-4.649549E+0	-3.774029E-4	1.002428E+1	7.978784E+0	7.101312E+0	5.228716E-1	3.233474E-3	-4.658864E+0	-3.091633E-3	-4.648430E+0
91	3.967050E-2	2.227264E-2	2.457047E-2	3.080744E-2	2.161612E-2	2.128786E-2	4.874781E-3	4.218258E-3	4.874781E-3	5.531304E-3	5.531304E-3	4.874781E-3	4.874781E-3	1.263905E-3	9.356431E-4	2.202261E+0	-4.650862E+0	3.561735E-3	1.002986E+1	7.989945E+0	7.114771E+0	5.228716E-1	3.889997E-3	-4.653719E+0	-8.236893E-3	-4.649816E+0
92	3.967050E-2	2.227264E-2	2.457047E-2	3.080744E-2	2.194438E-2	2.063133E-2	4.874781E-3	4.874781E-3	4.546520E-3	6.187827E-3	6.516089E-3	5.859566E-3	4.218258E-3	1.592166E-3	1.920428E-3	2.209811E+0	-4.647580E+0	2.248689E-3	1.003084E+1	7.980097E+0	7.106564E+0	5.231999E-1	2.905212E-3	-4.664009E+0	-3.091633E-3	-4.649816E+0
93	4.098355E-2	2.227264E-2	2.555526E-2	3.179223E-2	2.260090E-2	2.161612E-2	5.203043E-3	4.874781E-3	4.218258E-3	5.859566E-3	5.531304E-3	5.531304E-3	5.203043E-3	6.073816E-4	2.791201E-4	2.204231E+0	-4.653160E+0	1.920428E-3	1.002362E+1	8.037545E+0	7.156133E+0	5.228716E-1	3.889997E-3	-4.653719E+0	-8.236893E-3	-4.659517E+0
94	4.098355E-2	2.292916E-2	2.588352E-2	3.179223E-2	2.292916E-2	2.194438E-2	5.531304E-3	4.874781E-3	4.218258E-3	5.859566E-3	5.531304E-3	5.531304E-3	5.203043E-3	-4.914139E-5	-4.914139E-5	2.210796E+0	-4.654801E+0	9.356431E-4	1.002920E+1	8.044767E+0	7.168279E+0	5.225433E-1	4.546520E-3	-4.664009E+0	2.053627E-3	-4.658131E+0
95	4.131181E-2	2.358569E-2	2.555526E-2	3.179223E-2	2.325743E-2	2.227264E-2	5.203043E-3	4.546520E-3	4.874781E-3	5.859566E-3	5.531304E-3	5.203043E-3	5.203043E-3	-7.056644E-4	-3.774029E-4	2.209483E+0	-4.657099E+0	9.356431E-4	1.002953E+1	8.078251E+0	7.202748E+0	5.225433E-1	4.874781E-3	-4.664009E+0	-3.091633E-3	-4.658131E+0
96	4.164007E-2	2.358569E-2	2.654004E-2	3.244875E-2	2.325743E-2	2.227264E-2	6.844350E-3	5.859566E-3	5.203043E-3	6.844350E-3	4.874781E-3	5.531304E-3	5.531304E-3	-7.056644E-4	-1.033926E-3	2.199635E+0	-4.658412E+0	2.576951E-3	1.002887E+1	8.079564E+0	7.202091E+0	5.225433E-1	5.203043E-3	-4.669154E+0	-3.091633E-3	-4.656746E+0
97	4.131181E-2	2.391395E-2	2.654004E-2	3.244875E-2	2.391395E-2	2.227264E-2	6.187827E-3	5.859566E-3	5.203043E-3	6.187827E-3	4.874781E-3	4.546520E-3	6.844350E-3	-1.362187E-3	-1.033926E-3	2.212766E+0	-4.660382E+0	1.920428E-3	1.002756E+1	8.088099E+0	7.212268E+0	5.222151E-1	5.203043E-3	-4.664009E+0	-8.236893E-3	-4.660903E+0
98	4.196833E-2	2.391395E-2	2.654004E-2	3.244875E-2	2.391395E-2	2.292916E-2	7.829135E-3	5.531304E-3	5.531304E-3	6.187827E-3	4.218258E-3	3.561735E-3	5.859566E-3	-2.346972E-3	-1.690449E-3	2.205544E+0	-4.662351E+0	2.791201E-4	1.002756E+1	8.095650E+0	7.221131E+0	5.225433E-1	5.203043E-3	-4.664009E+0	-3.091633E-3	-4.653974E+0
99	4.131181E-2	2.325743E-2	2.588352E-2	3.179223E-2	2.325743E-2	2.260090E-2	5.203043E-3	4.546520E-3	4.218258E-3	6.187827E-3	4.218258E-3	3.889997E-3	4.874781E-3	-1.362187E-3	-1.362187E-3	2.205544E+0	-4.660054E+0	3.889997E-3	1.003183E+1	8.112063E+0	7.239514E+0	5.222151E-1	5.859566E-3	-4.664009E+0	-8.236893E-3	-4.669218E+0
100	4.295312E-2	2.522700E-2	2.818135E-2	3.409006E-2	2.522700E-2	2.424221E-2	7.829135E-3	6.844350E-3	6.516089E-3	8.485658E-3	5.531304E-3	5.859566E-3	8.813919E-3	-3.660018E-3	-3.331757E-3	2.203246E+0	-4.669245E+0	-1.690449E-3	1.002953E+1	8.146532E+0	7.268402E+0	5.218868E-1	6.516089E-3	-4.669154E+0	-8.236893E-3	-4.669218E+0
101	4.295312E-2	2.522700E-2	2.752483E-2	3.376179E-2	2.489873E-2	2.489873E-2	7.829135E-3	7.500873E-3	7.172612E-3	8.485658E-3	5.531304E-3	5.859566E-3	7.829135E-3	-3.003495E-3	-3.003495E-3	2.202590E+0	-4.668260E+0	-4.973064E-3	1.003084E+1	8.133729E+0	7.260852E+0	5.222151E-1	6.516089E-3	-4.674298E+0	-8.236893E-3	-4.669218E+0
102	4.360964E-2	2.522700E-2	2.818135E-2	3.441832E-2	2.522700E-2	2.457047E-2	6.844350E-3	6.187827E-3	6.187827E-3	7.500873E-3	4.546520E-3	4.546520E-3	7.500873E-3	-3.660018E-3	-3.660018E-3	2.211453E+0	-4.670230E+0	-3.331757E-3	1.002953E+1	8.141280E+0	7.267089E+0	5.218868E-1	7.172612E-3	-4.679443E+0	-3.091633E-3	-4.669218E+0
103	4.262486E-2	2.424221E-2	2.752483E-2	3.343353E-2	2.424221E-2	2.391395E-2	6.844350E-3	6.187827E-3	5.859566E-3	7.500873E-3	5.203043E-3	5.203043E-3	6.844350E-3	-2.346972E-3	-2.346972E-3	2.196353E+0	-4.663993E+0	-3.660018E-3	1.002920E+1	8.083503E+0	7.210626E+0	5.222151E-1	5.859566E-3	-4.679443E+0	-3.091633E-3	-4.659517E+0
104	4.229659E-2	2.457047E-2	2.719656E-2	3.343353E-2	2.457047E-2	2.358569E-2	6.187827E-3	5.859566E-3	6.187827E-3	7.172612E-3	5.203043E-3	5.531304E-3	6.844350E-3	-1.690449E-3	-2.018710E-3	2.203246E+0	-4.663665E+0	-2.346972E-3	1.002953E+1	8.078908E+0	7.202091E+0	5.222151E-1	5.531304E-3	-4.669154E+0	-8.236893E-3	-4.660903E+0
105	4.229659E-2	2.457047E-2	2.686830E-2	3.277701E-2	2.424221E-2	2.358569E-2	5.859566E-3	5.859566E-3	5.859566E-3	8.157396E-3	5.203043E-3	4.874781E-3	6.844350E-3	-1.362187E-3	-1.033926E-3	2.210468E+0	-4.660054E+0	-3.331757E-3	1.002756E+1	8.044111E+0	7.167623E+0	5.228716E-1	5.531304E-3	-4.669154E+0	-8.236893E-3	-4.659517E+0
106	4.164007E-2	2.391395E-2	2.654004E-2	3.277701E-2	2.424221E-2	2.292916E-2	5.531304E-3	4.546520E-3	5.531304E-3	6.516089E-3	4.546520E-3	5.203043E-3	6.187827E-3	-1.033926E-3	-7.056644E-4	2.197337E+0	-4.659725E+0	-4.973064E-3	1.002066E+1	8.045095E+0	7.172218E+0	5.228716E-1	5.531304E-3	-4.669154E+0	-3.091633E-3	-4.659517E+0
107	4.164007E-2	2.358569E-2	2.654004E-2	3.212049E-2	2.325743E-2	2.292916E-2	6.516089E-3	6.187827E-3	5.531304E-3	7.172612E-3	4.874781E-3	5.203043E-3	6.844350E-3	-7.056644E-4	-3.774029E-4	2.200292E+0	-4.658084E+0	-3.660018E-3	1.002821E+1	8.037217E+0	7.161057E+0	5.225433E-1	4.546520E-3	-4.664009E+0	-8.236893E-3	-4.658131E+0
108	4.131181E-2	2.325743E-2	2.654004E-2	3.212049E-2	2.358569E-2	2.227264E-2	4.874781E-3	6.187827E-3	5.531304E-3	8.485658E-3	7.172612E-3	7.500873E-3	7.829135E-3	2.791201E-4	2.791201E-4	2.204888E+0	-4.655786E+0	-2.346972E-3	1.002953E+1	8.028353E+0	7.153835E+0	5.228716E-1	4.218258E-3	-4.658864E+0	-8.236893E-3	-4.662289E+0
109	4.196833E-2	2.391395E-2	2.686830E-2	3.277701E-2	2.358569E-2	2.292916E-2	7.500873E-3	7.500873E-3	6.844350E-3	8.485658E-3	7.500873E-3	7.172612E-3	7.829135E-3	-3.774029E-4	2.791201E-4	2.208827E+0	-4.657099E+0	-6.942633E-3	1.002854E+1	8.009313E+0	7.131184E+0	5.225433E-1	3.889997E-3	-4.658864E+0	-8.236893E-3	-4.649816E+0
110	4.065529E-2	2.260090E-2	2.489873E-2	3.047918E-2	2.161612E-2	2.128786E-2	5.531304E-3	4.546520E-3	4.218258E-3	6.187827E-3	5.531304E-3	5.203043E-3	4.546520E-3	1.592166E-3	1.263905E-3	2.210468E+0	-4.649221E+0	-4.914139E-5	1.002789E+1	7.977471E+0	7.102625E+0	5.228716E-1	3.233474E-3	-4.658864E+0	-8.236893E-3	-4.653974E+0
111	3.999876E-2	2.194438E-2	2.489873E-2	3.080744E-2	2.161612E-2	2.095960E-2	4.874781E-3	3.561735E-3	3.561735E-3	5.203043E-3	5.203043E-3	4.874781E-3	4.874781E-3	9.356431E-4	1.592166E-3	2.204888E+0	-4.649221E+0	3.889997E-3	1.002198E+1	7.987647E+0	7.112145E+0	5.228716E-1	3.561735E-3	-4.653719E+0	-8.236893E-3	-4.649816E+0
